user_id,total_sessions,total_watch_time,avg_watch_time,avg_completion_rate,genre_diversity,device_diversity,churned,recency_days,active_days,session_frequency,completion_ratio,movie_ratio,original_ratio
user_00001,12,705.8,58.81666666666666,0.6823333333333333,8,5,1,62,634,0.01892744479495268,0.5,0.75,0.5
user_00002,15,762.0,50.8,0.5663333333333332,11,5,1,33,639,0.023474178403755867,0.3333333333333333,0.4,0.5333333333333333
user_00003,9,660.9,73.43333333333334,0.3918888888888889,6,5,1,190,426,0.02112676056338028,0.4444444444444444,0.5555555555555556,0.3333333333333333
user_00004,14,1144.2,81.72857142857143,0.3882142857142857,10,4,1,73,611,0.022913256955810146,0.2857142857142857,0.42857142857142855,0.2857142857142857
user_00005,10,675.2,67.52000000000001,0.5588,9,4,1,103,604,0.016556291390728478,0.2,0.6,0.2
user_00006,12,496.40000000000003,41.36666666666667,0.6358333333333334,10,5,1,31,645,0.018604651162790697,0.25,0.25,0.4166666666666667
user_00007,11,554.4,50.4,0.42836363636363634,10,4,0,1,511,0.021526418786692758,0.09090909090909091,0.5454545454545454,0.2727272727272727
user_00008,11,507.1,46.1,0.38790909090909087,9,4,1,34,662,0.01661631419939577,0.18181818181818182,0.5454545454545454,0.36363636363636365
user_00009,7,436.6,62.371428571428574,0.4762857142857143,6,5,1,38,612,0.011437908496732025,0.0,0.2857142857142857,0.2857142857142857
user_00010,8,461.8,57.725,0.621625,7,5,1,43,596,0.013422818791946308,0.125,0.75,0.125
user_00011,11,569.4,51.76363636363636,0.4078181818181818,11,5,1,122,545,0.02018348623853211,0.0,0.36363636363636365,0.45454545454545453
user_00012,15,649.3,43.28666666666666,0.47213333333333335,11,4,1,91,577,0.025996533795493933,0.2,0.5333333333333333,0.3333333333333333
user_00013,10,690.2,69.02000000000001,0.4875,7,5,0,23,626,0.01597444089456869,0.2,0.6,0.3
user_00014,10,539.6,53.96,0.5811,7,4,1,44,648,0.015432098765432098,0.1,0.4,0.3
user_00015,8,488.8,61.1,0.44775,8,5,1,135,390,0.020512820512820513,0.125,0.375,0.5
user_00016,8,367.90000000000003,45.987500000000004,0.5389999999999999,8,4,1,102,497,0.01609657947686117,0.25,0.0,0.0
user_00017,10,581.0,58.1,0.475,8,4,0,21,590,0.01694915254237288,0.3,0.4,0.2
user_00018,8,392.0,49.0,0.49874999999999997,7,5,1,61,564,0.014184397163120567,0.375,0.25,0.375
user_00019,15,741.4,49.42666666666666,0.5436666666666666,9,4,0,21,686,0.021865889212827987,0.13333333333333333,0.5333333333333333,0.2
user_00020,10,533.4,53.339999999999996,0.5809,8,4,0,14,629,0.01589825119236884,0.2,0.4,0.2
user_00021,9,419.8,46.644444444444446,0.6412222222222222,9,5,1,315,289,0.031141868512110725,0.1111111111111111,0.4444444444444444,0.2222222222222222
user_00022,14,832.0,59.42857142857143,0.47685714285714287,11,5,0,26,575,0.02434782608695652,0.21428571428571427,0.5714285714285714,0.5
user_00023,15,1265.2,84.34666666666666,0.5584666666666667,11,4,0,12,704,0.02130681818181818,0.5333333333333333,0.6666666666666666,0.26666666666666666
user_00024,8,447.2,55.9,0.43125,6,5,0,20,415,0.01927710843373494,0.25,0.25,0.625
user_00025,9,654.8,72.75555555555555,0.39488888888888884,6,4,1,317,345,0.02608695652173913,0.6666666666666666,0.2222222222222222,0.2222222222222222
user_00026,10,558.9,55.89,0.5146,9,4,0,1,659,0.015174506828528073,0.2,0.4,0.4
user_00027,11,557.6,50.690909090909095,0.4360909090909091,9,4,1,87,631,0.017432646592709985,0.36363636363636365,0.7272727272727273,0.2727272727272727
user_00028,20,1241.2,62.06,0.6309,13,5,1,85,623,0.03210272873194221,0.15,0.4,0.15
user_00029,8,376.1,47.0125,0.46199999999999997,6,4,1,100,494,0.016194331983805668,0.125,0.5,0.125
user_00030,9,417.6,46.400000000000006,0.6549999999999999,8,4,0,27,567,0.015873015873015872,0.4444444444444444,0.5555555555555556,0.2222222222222222
user_00031,7,473.6,67.65714285714286,0.413,7,4,0,5,583,0.012006861063464836,0.14285714285714285,0.5714285714285714,0.5714285714285714
user_00032,10,363.2,36.32,0.6096,8,4,1,46,675,0.014814814814814815,0.2,0.3,0.4
user_00033,14,793.0,56.642857142857146,0.5745714285714286,10,5,1,47,572,0.024475524475524476,0.42857142857142855,0.35714285714285715,0.21428571428571427
user_00034,9,477.6,53.06666666666667,0.4799999999999999,7,4,0,19,668,0.01347305389221557,0.2222222222222222,0.3333333333333333,0.4444444444444444
user_00035,10,453.9,45.39,0.3125,7,5,1,64,662,0.015105740181268883,0.4,0.7,0.4
user_00036,5,423.5,84.7,0.5054,3,3,1,364,268,0.018656716417910446,0.2,0.0,0.6
user_00037,8,420.90000000000003,52.612500000000004,0.395625,7,3,1,91,401,0.0199501246882793,0.5,0.25,0.25
user_00038,10,470.09999999999997,47.01,0.6021,7,4,1,49,481,0.02079002079002079,0.2,0.4,0.4
user_00039,11,600.9,54.627272727272725,0.3070909090909091,7,5,1,41,688,0.015988372093023256,0.36363636363636365,0.45454545454545453,0.09090909090909091
user_00040,8,445.1,55.6375,0.5045,6,4,1,242,449,0.017817371937639197,0.5,0.625,0.5
user_00041,10,528.5,52.85,0.604,8,5,0,18,679,0.014727540500736377,0.4,0.3,0.2
user_00042,4,103.2,25.8,0.66475,3,3,1,141,465,0.008602150537634409,0.75,0.5,0.0
user_00043,7,561.5,80.21428571428571,0.798,5,4,1,64,662,0.010574018126888218,0.5714285714285714,0.7142857142857143,0.14285714285714285
user_00044,7,278.0,39.714285714285715,0.508,6,5,1,113,326,0.02147239263803681,0.14285714285714285,0.8571428571428571,0.42857142857142855
user_00045,8,240.4,30.05,0.41675,7,5,1,71,605,0.013223140495867768,0.5,0.25,0.375
